ID der Marktlokation / Tranche;Meldepunkttyp;Sparte;Spannungsebene der MaLo;Druckebene;Ausspeisung / Einspeisung (Lieferrichtung);Messtechnische Einordnung der Marktlokation;Wahlrecht des Bilanzierungsverfahrens;Messwertübermittlungsfall der MALO;Gruppenzuordnung nach ENWG/Fallgruppenzuordnung nach Gabi Gas ;Gruppenzuuordnung nach GABI;Gasqualität;Art der erzeugenden Marktlokation;Status der erzeugenden Marktlokation;Land der Förderung;Status der Fernsteuerbarkeit;Lieferanschrift Straße (vollständig) ;Lieferanschrift Hausnummer incl. Zusatz;Lieferanschrift Ortsteil;Lieferanschrift Ort;Lieferanschrift PLZ;Verbrauchsstellenhinweis;Bilanzierungsgebiet (Netzgebiet);Temperaturmesstelle;Gemeinderabatt;Geplante Turnusablesung;Abrechnungsmonat;Turnus Abrechnung;Verlustfaktor;Gemessene Maximalleistung in kW;;;
50414789667;Z30;1;E06;;Z07;Z53;;;Z18;;;;;;;Pirmasenser Str.;1;Hauenstein;Hauenstein;76846;Penny-Markt;10YDE-RWENET---I;;0;20221130;11;1;;;;;
50414789758;Z30;1;E06;;Z07;Z53;;;Z15;;;;;;;Felsenstr.;24;Hauenstein;Hauenstein;76846;;10YDE-RWENET---I;;0;20221130;11;12;;;;;
50802494844;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50802891735;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808737016;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811549606;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50812791230;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50813135601;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50813664337;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50813810550;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819526119;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819753241;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819769264;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819773033;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819776491;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819864791;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819870756;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819931962;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819973865;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820000144;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820023237;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
51541862764;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809792788;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811168026;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811678827;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811752225;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811770839;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811846630;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50812095476;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50812345681;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50813668967;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50813693980;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50814634420;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818644293;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818645233;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819179778;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819179786;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819708395;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819708486;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819796176;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819808955;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819817617;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819821197;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819863107;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819890803;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50803724604;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50804530828;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50803980420;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50804547394;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50805598453;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50804805718;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50805783921;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50803368014;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50804014575;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50804015028;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819674900;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50812544019;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50812544019;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50812539292;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819945971;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50807143090;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50807143090;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820030860;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50806668073;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50806668073;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819673316;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819773067;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810954252;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820012412;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810954252;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810945970;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819970043;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810945970;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811290952;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819843951;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811290952;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810657799;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820032949;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810657799;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808488578;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819842177;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808488578;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818791341;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818791557;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818791557;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819842135;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50818791341;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809050003;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820096648;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809050003;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811686937;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819845965;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50811686937;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809677659;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808076737;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808076737;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820034341;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809677659;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819842143;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819606052;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819606052;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819605947;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50819605947;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808595125;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808595125;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50807193079;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820044712;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808595125;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808595125;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810471248;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810471248;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50812598058;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820036339;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810471248;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50810471248;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51542536392;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51542536409;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51542536409;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820024269;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
51542536392;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50808630864;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50805343238;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50805343238;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820002752;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809546987;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809522185;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50809522185;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820001324;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50820017850;;41;N;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
50807298291;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50807298291;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50806361974;;41;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
